,,,,,
,Vault,Crypto Collateral Integration For Lenders,collateralvault.com,Web3/Blockchain,Seed
,Walnut Insurance,Embedded Insurance Infrastructure For Retail And Finance,gowalnut.com,Insuretech,A
,,,,,
,September 2025,,,,
,Name,Description,URL,Industry,Stage
,,,,,
,Arlow,Connecting Family And Care Partners.,arlow.ai,Healthtech,Pre-Seed
,Backpack,Backpack Builds API-Driven Payment Gateways For College Savings Plans.,backpack529.com,Financial Services,Pre-Seed
,Basewell,Tool For Building High-Performance Teams.,basewell.com,Misc,Seed
,Beaconhealth,AI Native MSO For Primary Care.,beaconhealth.ai,Healthtech,Pre-Seed
,Bear,AI Marketing For SMBs.,usebear.ai,SMB Enablement,Seed
,Chexy,Chexy Rewards Renters And Builds Their Credit.,chexy.co,Financial Services,A
,Dill,Dill Automates Lien Releases And Payments For Contractors.,usedill.com,Financial Services,Seed
,Ethica,AI-Powered Title And Escrow.,heyethica.com,Proptech,Seed
,Evergrove Labs,AI Platform For MCOs.,evergrovelabs.com,Healthtech,Seed
,Everygene,Whole Genome Sequencing For Personalized Health And DNA Reports.,everygene.com,Healthtech,Seed
,Exitify,We Help Small Business Owners Sell Their Companies.,exitify.com,SMB Enablement,Pre-Seed
,Flax.AI,Flax Automates Time-Consuming Paperwork In Skilled Nursing.,flax.health,Healthtech,Seed
,Further AI,FurtherAI Is AI For The Insurance Industry.,furtherai.com,Insuretech,Seed
,Guardianly AI,Guardianly Modernizes Your Phone Calls With AI.,guardianly.ai,Misc,Pre-Seed
,Halfmore,Halfmore Helps Parents Build Wealth For Their Children.,halfmore.co,Financial Services,Seed
,Henry Labs,Redirect Links Kill Conversions. We Eliminate Them.,henry.social,Financial Services,Seed
,InstaFi,OS For Construction Finance.,instafi.ai,Proptech,Seed
,Knova,Move Digital And Traditional Assets Through One Powerful System.,knova.finance,Financial Services,Seed
,Koda Health,Koda Health Provides Advanced Digital Care Planning.,kodahealthcare.com,Healthtech,A
,Lira AI,AI Workforce For Financial Advisors.,getlira.ai,Financial Services,Pre-Seed
,Locata,Locata Provides AI-Powered Referral Management For Primary Care.,locatahealth.com,Healthtech,Pre-Seed
,Pax,Pax Uses AI To Optimize Retail And Manufacturing Data.,paxai.com,SMB Enablement,A
,Portare,Payments Orchestration For Agentic Commerce.,portare.io,Financial Services,Pre-Seed
,Prodos,AI Copilot For Advisors.,prodos.dev,Financial Services,Pre-Seed
,Recipio,AI Payments For 3PLs.,recipio.ai,Financial Services,Seed
,Rep,Behavioral AI That Guides Shoppers.,hellorep.ai,Financial Services,A
,Ruby Health,AI Home Health Platform For Value-Based Care.,goruby.com,Healthtech,Seed
,"SavvyIQ, Inc.",Business Identity Solutions.,savvyiq.ai,Financial Services,Pre-Seed
,Second Door Health,Second Door Health Offers Digital Physical Therapy Solutions.,seconddoor.app,Healthtech,Seed
,Sunny Health AI,Healthcare Concierge.,sunnyhealth.ai,Healthtech,Seed
,Sutro,Launch New Insurance Products In Weeks.,sutro.one,Insuretech,Pre-Seed
,Trinsic,Trinsic Provides Self-Sovereign Identity Verification.,trinsic.id,Web3/Blockchain,A
,Unscammed,Help People Avoid Scams.,unscammed.com,Financial Services,Pre-Seed
,YourOwn,Own Your Financial Profile In A Secure Wallet.,yourownwallet.com,Web3/Blockchain,Pre-Seed
